source,alpha,target,status
Andorra,MHL,Marshall Islands,ETA
Andorra,MRT,Mauritania,ETA
Andorra,MUS,Mauritius,ETA
Andorra,MEX,Mexico,180
Andorra,FSM,Micronesia,30
Andorra,MDA,Moldova,90
Andorra,MCO,Monaco,90
Andorra,MNG,Mongolia,VR
Andorra,MNE,Montenegro,90
Andorra,MAR,Morocco,90
Andorra,MOZ,Mozambique,ETA
Andorra,MMR,Myanmar,VR
Andorra,NAM,Namibia,VR
Andorra,NRU,Nauru,VR
Andorra,NPL,Nepal,ETA
Andorra,NLD,Netherlands,90
Andorra,NZL,New Zealand,VOA
Andorra,NIC,Nicaragua,90
Andorra,NGA,Nigeria,ETA
Andorra,PRK,North Korea,VR
Andorra,MKD,Macedonia,90
Andorra,NOR,Norway,90
Andorra,OMN,Oman,ETA
Andorra,PAK,Pakistan,VR
Andorra,PLW,Palau,ETA
Andorra,PAN,Panama,180
Andorra,PNG,Papua New Guinea,ETA
Andorra,PRY,Paraguay,90
Andorra,PER,Peru,180
Andorra,PHL,Philippines,30
Andorra,POL,Poland,90
Andorra,PRT,Portugal,90
Andorra,QAT,Qatar,30
Andorra,ROU,Romania,90
Andorra,RUS,Russia,VR
Andorra,RWA,Rwanda,ETA
Andorra,KNA,Saint Kitts and Nevis,VR
Andorra,LCA,Saint Lucia,42
Andorra,VCT,Saint Vincent and the Grenadines,30
Andorra,WSM,Samoa,ETA
Andorra,SMR,San Marino,90
Andorra,STP,Sao Tome and Principe,15
Andorra,SAU,Saudi Arabia,ETA
Andorra,SEN,Senegal,ETA
Andorra,SRB,Serbia,90
Andorra,SYC,Seychelles,ETA
Andorra,SLE,Sierra Leone,VR
Andorra,SGP,Singapore,30
Andorra,SVK,Slovakia,90
Andorra,SVN,Slovenia,90
Andorra,SLB,Solomon Islands,ETA
Andorra,SOM,Somalia,ETA
Andorra,ZAF,South Africa,90
Andorra,KOR,South Korea,30
Andorra,ESP,Spain,90
Andorra,LKA,Sri Lanka,VOA
Andorra,SDN,Sudan,VR
Andorra,SUR,Suriname,ETA
Andorra,SWZ,Swaziland,30
Andorra,SWE,Sweden,90
Andorra,CHE,Switzerland,90
Andorra,SYR,Syria,VR
Andorra,TWN,Taiwan,90
Andorra,TJK,Tajikistan,ETA
Andorra,TZA,Tanzania,ETA
Andorra,THA,Thailand,30
Andorra,TLS,Timor-Leste,ETA
Andorra,TGO,Togo,ETA
Andorra,TON,Tonga,VR
Andorra,TTO,Trinidad and Tobago,VR
Andorra,TUN,Tunisia,90
Andorra,TUR,Turkey,90
Andorra,TKM,Turkmenistan,VR
Andorra,TUV,Tuvalu,ETA
Andorra,UGA,Uganda,ETA
Andorra,UKR,Ukraine,90
Andorra,ARE,United Arab Emirates,30
Andorra,GBR,UK,180
Andorra,USA,USA,VOA
Andorra,URY,Uruguay,90
Andorra,UZB,Uzbekistan,30
Andorra,VUT,Vanuatu,30
Andorra,VAT,Vatican,90
Andorra,VEN,Venezuela,90
Andorra,VNM,Vietnam,ETA
Andorra,YEM,Yemen,VR
Andorra,ZMB,Zambia,ETA
Andorra,ZWE,Zimbabwe,ETA
Angola,AFG,Afghanistan,VR
Angola,ALB,Albania,VR
Angola,DZA,Algeria,VR
Angola,AND,Andorra,VR
